time,open,high,low,close,volume,Pct_Change,Benchmark_Pct_Change,RSC
2024-01-31,26804.9,27152.8,26752.3,27125.3,0,1.2304258908178989,0.946004339725226,1.3006556515113716
2024-02-01,27185.2,27231.4,27009.4,27076.9,0,-0.17843120629079667,-0.13026047492140647,1.3698031302162406
2024-02-02,27214.1,27606.1,27206.1,27411.7,0,1.2364783265440327,0.7208236931613765,1.7153685960586378
2024-02-05,27531.2,27630.4,27290.9,27355.4,0,-0.20538675091292813,-0.3756783717248191,0.5467090106091388
2024-02-06,27435.2,27658.2,27317.6,27633.7,0,1.017349408160717,0.7243348016002349,1.4045292396736155
2024-02-07,27798.0,27807.6,27570.7,27682.9,0,0.17804347590080205,0.005016097111631979,35.4944236402305
2024-02-08,27805.4,27811.7,27389.9,27460.7,0,-0.8026615708614404,-0.969426141674834,0.8279759915229005
2024-02-09,27539.1,27551.0,27191.2,27520.8,0,0.21885822284208878,0.2974504901486652,0.7357803402263814
2024-02-12,27571.4,27599.8,27272.4,27328.8,0,-0.6976541379611012,-0.7639159876047352,0.9132602920755742
2024-02-13,27374.8,27466.6,27155.2,27439.8,0,0.40616492491436507,0.5879876573479992,0.6907711749363767
2024-02-14,27282.1,27670.8,27212.6,27633.3,0,0.705180066910116,0.44565657308950346,1.5823396523055235
2024-02-15,27745.7,27830.7,27644.6,27761.3,0,0.46320924391947127,0.32371646649969055,1.4309103547561244
2024-02-16,27896.8,28055.4,27857.7,27993.8,0,0.8374968031036101,0.5928583164466872,1.412642413659929
2024-02-19,28084.1,28191.05,27978.65,28074.25,0,0.2873850638355657,0.3699973231340081,0.7767220081521472
2024-02-20,28065.95,28115.9,27928.3,28083.5,0,0.03294834234217614,0.33766908881329716,0.09757583217927841
2024-02-21,28151.35,28178.45,27806.3,27886.95,0,-0.6998771520643765,-0.6392770177884866,1.0947947956670332
2024-02-22,27986.15,28159.65,27639.2,28113.1,0,0.8109527933316318,0.7363392964423232,1.101330320478357
2024-02-23,28190.0,28195.95,28064.95,28107.95,0,-0.018318862025168414,-0.02137959126722322,0.856838739160221
2024-02-26,28085.1,28096.2,27926.95,27997.55,0,-0.3927714401085858,-0.4080998707946426,0.9624395110534839
