time,open,high,low,close,volume,Pct_Change,Benchmark_Pct_Change,RSC
2024-01-01,11809.5,11865.0,11787.8,11817.5,0,,,
2024-01-02,11831.4,11833.5,11699.0,11782.6,0,-0.2953247302728945,-0.3500154080370299,0.8437477993587374
2024-01-03,11791.5,11797.0,11734.2,11745.5,0,-0.31487108108567696,-0.6854120318658952,0.4593894861000679
2024-01-04,11796.8,11863.7,11782.5,11850.6,0,0.8948107785960557,0.6566809032731769,1.3626264661206657
2024-01-05,11884.3,11904.1,11817.3,11872.3,0,0.18311309132026388,0.2410128078453866,0.7597649807795017
2024-01-08,11897.2,11900.8,11748.8,11759.7,0,-0.9484261684761908,-0.911067302909152,1.0410056045780012
2024-01-09,11838.9,11870.7,11768.8,11782.9,0,0.19728394431830498,0.14781759866127064,1.3346444950062288
2024-01-10,11782.2,11829.9,11717.1,11820.5,0,0.3191065017949857,0.34300620103226986,0.9303228362479787
2024-01-11,11863.2,11885.0,11824.6,11855.2,0,0.2935578021234342,0.13183031357111297,2.2267852830758903
2024-01-12,11920.7,11978.5,11885.8,11960.8,0,0.8907483635872682,1.1428729812631655,0.7793940168248308
2024-01-15,12042.0,12062.5,11979.6,12055.4,0,0.7909169955186979,0.9262557890986844,0.853886156315761
2024-01-16,12056.6,12074.8,11971.1,12019.5,0,-0.2977918609088026,-0.29460479513427895,1.0108181055677352
2024-01-17,11844.3,11937.7,11790.8,11801.3,0,-1.8153833354132898,-2.089659272976485,0.8687460960214246
2024-01-18,11732.5,11782.7,11599.9,11749.3,0,-0.4406294221823037,-0.5085319327458482,0.8664734578281036
2024-01-19,11835.0,11871.8,11817.1,11862.3,0,0.9617594239656801,0.7464286047096813,1.2884814674804035
2024-01-20,11916.8,11927.0,11842.8,11856.0,0,-0.05310943071747953,-0.23401657540329523,0.2269473033094035
2024-01-23,11943.1,11950.5,11599.4,11626.8,0,-1.933198380566803,-1.5436820293160514,1.2523293941715004
2024-01-24,11614.5,11782.2,11555.5,11769.4,0,1.2264767605876026,1.0127690829990543,1.2110132321137885
