time,open,high,low,close,volume,Pct_Change,Benchmark_Pct_Change,RSC
2024-01-29,23815.64,23815.64,23815.64,23815.64,0,1.2179832088489606,1.803059112239258,0.6755093055913851
2024-01-30,23772.6,23772.6,23772.6,23772.6,0,-0.18072157624149376,-0.9913697924333831,0.18229481836227895
2024-01-31,24295.57,24295.57,24295.57,24295.57,0,2.199885582561434,0.946004339725226,2.3254497788037707
2024-02-01,24094.35,24094.35,24094.35,24094.35,0,-0.828216831298878,-0.13026047492140647,6.358159156095417
2024-02-02,24282.68,24282.68,24282.68,24282.68,0,0.7816355286612842,0.7208236931613765,1.0843643682593176
2024-02-05,24250.52,24250.52,24250.52,24250.52,0,-0.13244007663074653,-0.3756783717248191,0.3525358034924556
2024-02-06,24808.88,24808.88,24808.88,24808.88,0,2.302466091448774,0.7243348016002349,3.178731832796182
2024-02-07,24850.0,24850.0,24850.0,24850.0,0,0.1657471034564928,0.005016097111631979,33.04304118676986
2024-02-08,24707.22,24707.22,24707.22,24707.22,0,-0.5745674044265514,-0.969426141674834,0.5926881685219434
2024-02-09,24341.47,24341.47,24341.47,24341.47,0,-1.4803365170180993,0.2974504901486652,-4.976749294574132
2024-02-12,23434.78,23434.78,23434.78,23434.78,0,-3.7248777497825847,-0.7639159876047352,4.876030624076829
2024-02-13,23593.02,23593.02,23593.02,23593.02,0,0.6752356966867268,0.5879876573479992,1.1483841340007754
2024-02-14,23794.01,23794.01,23794.01,23794.01,0,0.8519045039592221,0.44565657308950346,1.9115717245084363
2024-02-15,24105.69,24105.69,24105.69,24105.69,0,1.309909510839069,0.32371646649969055,4.046471670109871
2024-02-16,24258.29,24258.29,24258.29,24258.29,0,0.6330455589530937,0.5928583164466872,1.0677855760669257
2024-02-19,24455.73,24455.73,24455.73,24455.73,0,0.813907328175234,0.3699973231340081,2.1997654504123196
2024-02-20,24314.17,24314.17,24314.17,24314.17,0,-0.5788418501512793,0.33766908881329716,-1.7142281284483536
2024-02-21,24079.24,24079.24,24079.24,24079.24,0,-0.9662266900330008,-0.6392770177884866,1.5114366122147846
2024-02-22,24188.61,24188.61,24188.61,24188.61,0,0.4542086876496043,0.7363392964423232,0.6168470022503846
2024-02-23,24267.46,24267.46,24267.46,24267.46,0,0.3259798723448615,-0.02137959126722322,-15.24724529437647
2024-02-26,24187.62,24187.62,24187.62,24187.62,0,-0.3290002332341335,-0.4080998707946426,0.8061757838675908
2024-02-27,24297.96,24297.96,24297.96,24297.96,0,0.45618378327425546,0.3449047443613962,1.3226370200238808
2024-02-28,23853.27,23853.27,23853.27,23853.27,0,-1.8301536425280096,-1.1135962808046407,1.6434624235684523
2024-02-29,23913.59,23913.59,23913.59,23913.59,0,0.252879374609849,0.14418378991531977,1.7538682729755333
2024-03-01,24141.59,24141.59,24141.59,24141.59,0,0.9534327551823152,1.6192204814673428,0.5888220696901705
2024-03-02,24357.02,24357.02,24357.02,24357.02,0,0.8923604451902323,0.17749426445079486,5.02754524463867
2024-03-04,24339.71,24339.71,24339.71,24339.71,0,-0.07106780714554173,0.12154577628427088,-0.5846999321418506
2024-03-05,24282.32,24282.32,24282.32,24282.32,0,-0.23578752581686624,-0.22003427714499812,1.0715945209822333
2024-03-06,23790.23,23790.23,23790.23,23790.23,0,-2.026536179409544,0.5266971726090697,-3.8476306401471785
2024-03-07,23831.06,23831.06,23831.06,23831.06,0,0.17162507466301768,0.0867667376374115,1.9780053893488505
2024-03-11,23389.13,23389.13,23389.13,23389.13,0,-1.8544286322135894,-0.7153161684127163,2.5924601093926887
2024-03-12,23038.94,23038.94,23038.94,23038.94,0,-1.4972339715072835,0.013657134285449679,-109.63017132389463
2024-03-13,21791.44,21791.44,21791.44,21791.44,0,-5.414745643679786,-1.5132724741109493,3.5781696530632794
2024-03-14,22430.19,22430.19,22430.19,22430.19,0,2.9311968369231334,0.6771162439709544,4.328941836830118
2024-03-15,22471.12,22471.12,22471.12,22471.12,0,0.18247727727673801,-0.5567433449302883,-0.3277583449149026
2024-03-18,22517.65,22517.65,22517.65,22517.65,0,0.20706578043285795,0.146889551317142,1.4096699089630442
2024-03-19,22289.85,22289.85,22289.85,22289.85,0,-1.0116508605471863,-1.080219625765677,0.9365233110166017
2024-03-20,22340.91,22340.91,22340.91,22340.91,0,0.22907287397628817,0.09923249508994036,2.308446177521443
2024-03-21,22729.55,22729.55,22729.55,22729.55,0,1.7395889424378863,0.7914703444739102,2.197920559606298
2024-03-22,22863.09,22863.09,22863.09,22863.09,0,0.5875171307835103,0.38524528721899376,1.5250468994044684
2024-03-26,22899.26,22899.26,22899.26,22899.26,0,0.15820258766421347,-0.41657709844207247,-0.3797678467104031
2024-03-27,22989.57,22989.57,22989.57,22989.57,0,0.39437955636993927,0.540566333556014,0.7295673664609993
2024-03-28,22958.69,22958.69,22958.69,22958.69,0,-0.13432178157312125,0.9187001240753778,-0.146208515763845
2024-04-01,23679.42,23679.42,23679.42,23679.42,0,3.139247056343364,0.605099677966936,5.187983353240025
2024-04-02,23946.58,23946.58,23946.58,23946.58,0,1.1282370936450459,-0.03873208084765878,-29.129266203967553
2024-04-03,24296.58,24296.58,24296.58,24296.58,0,1.4615865814659124,-0.08306128720498851,-17.596483640553696
2024-04-04,24406.92,24406.92,24406.92,24406.92,0,0.45413798979114794,0.3565912550452133,1.2735533565834822
2024-04-05,24451.72,24451.72,24451.72,24451.72,0,0.1835545001172001,-0.0042194748752555356,-43.50174027427616
2024-04-08,24504.64,24504.64,24504.64,24504.64,0,0.21642649269661973,0.6778095115418603,0.31930282625320405
2024-04-09,24613.99,24613.99,24613.99,24613.99,0,0.446242017838272,-0.10389873953843276,-4.294970466635974
2024-04-10,24742.65,24742.65,24742.65,24742.65,0,0.522710864837439,0.4904439610913025,1.0657912142996693
2024-04-12,24689.27,24689.27,24689.27,24689.27,0,-0.2157408361675106,-1.0301576000492085,0.2094250784124731
2024-04-15,24301.57,24301.57,24301.57,24301.57,0,-1.5703177939242474,-1.0963880032327733,1.4322646629606128
2024-04-16,24414.5,24414.5,24414.5,24414.5,0,0.46470248630026134,-0.5594342799416285,-0.8306650181478841
2024-04-18,24330.75,24330.75,24330.75,24330.75,0,-0.3430338528333521,-0.6865210697176827,0.4996698105338814
2024-04-19,24274.43,24274.43,24274.43,24274.43,0,-0.23147662936818802,0.6871750807538657,-0.33685247886789854
2024-04-22,24379.8,24379.8,24379.8,24379.8,0,0.4340781637303115,0.8551948345148386,0.5075780935657415
2024-04-23,24598.69,24598.69,24598.69,24598.69,0,0.897833452284269,0.14147311115488836,6.346318710000645
2024-04-24,24851.64,24851.64,24851.64,24851.64,0,1.0283067919470534,0.15379113018598733,6.68638555879959
2024-04-25,25068.2,25068.2,25068.2,25068.2,0,0.8714113032379345,0.7496964610934409,1.1623521631234208
2024-04-26,25150.37,25150.37,25150.37,25150.37,0,0.32778580033667737,-0.6663609558557937,-0.49190427118544
2024-04-29,25164.9,25164.9,25164.9,25164.9,0,0.05777250990741667,0.9966569952207793,0.05796629149692459
2024-04-30,25169.47,25169.47,25169.47,25169.47,0,0.01816021522040856,-0.17024828426828176,-0.10666900579033861
2024-05-02,25239.14,25239.14,25239.14,25239.14,0,0.27680360373101287,0.1917730044658672,1.4433919127563122
2024-05-03,25096.49,25096.49,25096.49,25096.49,0,-0.5651935842504896,-0.7609876281558847,0.7427106083447553
2024-05-06,24730.52,24730.52,24730.52,24730.52,0,-1.4582517316166554,-0.14749164102803025,9.88701272460261
2024-05-07,24293.74,24293.74,24293.74,24293.74,0,-1.7661577678107832,-0.6247020189192987,2.827200352043271
2024-05-08,24410.16,24410.16,24410.16,24410.16,0,0.47921810309980994,0.0,
2024-05-09,23746.22,23746.22,23746.22,23746.22,0,-2.7199330115001197,-1.546911781190452,1.758298724318299
2024-05-10,23883.95,23883.95,23883.95,23883.95,0,0.5800081023421777,0.44495047250370234,1.3035340744297144
2024-05-13,23816.08,23816.08,23816.08,23816.08,0,-0.28416572635597825,0.22148971671078765,-1.2829748061262385
2024-05-14,24198.39,24198.39,24198.39,24198.39,0,1.6052599756131158,0.5148377785971325,3.117991807025594
2024-05-15,24433.89,24433.89,24433.89,24433.89,0,0.9732052421669302,-0.0778653200017021,-12.49857115010452
2024-05-16,24653.78,24653.78,24653.78,24653.78,0,0.8999385689302919,0.9157430784372478,0.9827413279127079
2024-05-17,25055.74,25055.74,25055.74,25055.74,0,1.6304193515152665,0.2778540295529597,5.867898889710018
2024-05-18,25290.84,25290.84,25290.84,25290.84,0,0.9383079485977941,0.15979631533733496,5.871899778270838
2024-05-21,25064.13,25064.13,25064.13,25064.13,0,-0.8964115070910994,0.12021153675227936,-7.456950732926241
2024-05-22,24963.34,24963.34,24963.34,24963.34,0,-0.40212846007422476,0.3051615580772271,-1.31775595395426
2024-05-23,25067.61,25067.61,25067.61,25067.61,0,0.41769250428829174,1.6366637460283773,0.2552097248453682
2024-05-24,25047.77,25047.77,25047.77,25047.77,0,-0.07914595767207766,-0.04593417262978017,1.7230300044800533
2024-05-27,25134.03,25134.03,25134.03,25134.03,0,0.34438195496044877,-0.1073741892486324,-3.207306684877577
2024-05-28,24872.48,24872.48,24872.48,24872.48,0,-1.0406210225737733,-0.19317604529824894,5.386905094610124
2024-05-29,24873.4,24873.4,24873.4,24873.4,0,0.0036988671817228536,-0.8015064563977492,-0.004614893806778374
2024-05-30,24571.4,24571.4,24571.4,24571.4,0,-1.2141484477393494,-0.9515650944518117,1.2759489128159012
2024-05-31,24642.25,24642.25,24642.25,24642.25,0,0.28834335853877846,0.18698321153114428,1.5420815386452567
2024-06-03,25071.55,25071.55,25071.55,25071.55,0,1.7421298785622152,3.2542264554585643,0.5353437759809269
2024-06-04,23485.18,23485.18,23485.18,23485.18,0,-6.327371064014786,-5.929358362097503,1.0671257626223973
2024-06-05,24267.3,24267.3,24267.3,24267.3,0,3.330270408828029,3.362425460942675,0.9904369472310528
2024-06-06,24947.64,24947.64,24947.64,24947.64,0,2.8035257321580964,0.8888014553267487,3.154276712032881
2024-06-07,25621.29,25621.29,25621.29,25621.29,0,2.700255414941055,2.0539931818380985,1.3146369904327642
2024-06-10,26147.96,26147.96,26147.96,26147.96,0,2.0555951710471865,-0.13288879633664985,-15.468536307904438
2024-06-11,26318.27,26318.27,26318.27,26318.27,0,0.6513318821047553,0.024291463162962046,26.813200906640382
2024-06-12,26594.71,26594.71,26594.71,26594.71,0,1.050372991841786,0.24973296625596664,4.2059845265490265
2024-06-13,26858.65,26858.65,26858.65,26858.65,0,0.9924530103919249,0.325644911985834,3.047653974815052
2024-06-14,26984.8,26984.8,26984.8,26984.8,0,0.4696810897047987,0.2850561351174452,1.6476792878402238
2024-06-18,27133.49,27133.49,27133.49,27133.49,0,0.5510139041238205,0.3933417428064967,1.4008528568372416
2024-06-19,27096.73,27096.73,27096.73,27096.73,0,-0.13547833323321878,-0.17785965642099777,0.7617148034545763
2024-06-20,27409.7,27409.7,27409.7,27409.7,0,1.1550102171000054,0.21687361796223215,5.325729463789122
2024-06-21,27442.37,27442.37,27442.37,27442.37,0,0.1191913811533718,-0.27962829380066,-0.42624935958140325
2024-06-24,27384.5,27384.5,27384.5,27384.5,0,-0.21087828784467355,0.15637565901169825,-1.3485365252970607
2024-06-25,27489.27,27489.27,27489.27,27489.27,0,0.38258869068268364,0.7793829937738694,0.49088662921696763
2024-06-26,27458.47,27458.47,27458.47,27458.47,0,-0.11204371742137287,0.6218040326626317,-0.180191365021532
2024-06-27,27305.26,27305.26,27305.26,27305.26,0,-0.5579699087385537,0.7361073870492119,-0.7580006919578041
2024-06-28,27652.01,27652.01,27652.01,27652.01,0,1.269901843088106,-0.14098858366778932,-9.00712532924204
2024-07-01,28279.11,28279.11,28279.11,28279.11,0,2.2678279083509834,0.5470500528933053,4.145558338504159
2024-07-02,28152.39,28152.39,28152.39,28152.39,0,-0.4481046256406218,-0.07497323124272537,5.976861583968362
2024-07-03,28395.27,28395.27,28395.27,28395.27,0,0.862733146279937,0.6742290306066545,1.2795846917236287
2024-07-04,28471.91,28471.91,28471.91,28471.91,0,0.2699041072685704,0.06443909167646034,4.188515080624059
2024-07-05,28509.86,28509.86,28509.86,28509.86,0,0.13328926650864048,0.08929251115641357,1.4927261511904157
2024-07-08,28414.97,28414.97,28414.97,28414.97,0,-0.3328322201512024,-0.013566931221820067,24.53260908523655
2024-07-09,28462.03,28462.03,28462.03,28462.03,0,0.16561692657073301,0.4631885380881551,0.3575583438535183
2024-07-10,28295.05,28295.05,28295.05,28295.05,0,-0.5866763544272846,-0.4450911055449147,1.3181039726889854
2024-07-11,28461.07,28461.07,28461.07,28461.07,0,0.5867457382121577,-0.03494426389908378,-16.790902790415963
2024-07-12,28670.4,28670.4,28670.4,28670.4,0,0.735495889648563,0.7657525204649573,0.960487716321165
2024-07-15,28893.09,28893.09,28893.09,28893.09,0,0.7767244265862949,0.3450717590089081,2.2509069673425337
2024-07-16,28891.3,28891.3,28891.3,28891.3,0,-0.0061952529134212675,0.1069684016155037,-0.05791666342449437
2024-07-18,28564.73,28564.73,28564.73,28564.73,0,-1.13034027544624,0.7632145614106411,-1.4810255629256397
2024-07-19,27718.85,27718.85,27718.85,27718.85,0,-2.9612742707527784,-1.0884707580586794,2.7205822929357337
2024-07-22,28001.62,28001.62,28001.62,28001.62,0,1.0201361167580858,-0.08825603626446687,-11.558825434910302
2024-07-23,27872.49,27872.49,27872.49,27872.49,0,-0.4611518904977574,-0.12321878474453873,3.742545355027099
2024-07-24,28581.55,28581.55,28581.55,28581.55,0,2.543942073349026,-0.2677799996323338,-9.500119788042046
2024-07-25,28424.25,28424.25,28424.25,28424.25,0,-0.5503550367282339,-0.030311098367707956,18.156882012383846
2024-07-26,28806.37,28806.37,28806.37,28806.37,0,1.3443450574773363,1.7567329479105664,0.765252942444258
2024-07-29,29160.07,29160.07,29160.07,29160.07,0,1.2278534226978222,0.005033249647179439,243.94844459699982
2024-07-30,29597.98,29597.98,29597.98,29597.98,0,1.5017453661805291,0.08535961765334665,17.593159475939274
2024-07-31,29453.76,29453.76,29453.76,29453.76,0,-0.48726298213594976,0.3775550844218989,-1.2905745472399937
2024-08-01,29089.73,29089.73,29089.73,29089.73,0,-1.2359372793151024,0.23946792031630526,-5.161180995277337
2024-08-02,28967.95,28967.95,28967.95,28967.95,0,-0.41863571782893017,-1.1722888820474342,0.35710968878061145
2024-08-05,27781.24,27781.24,27781.24,27781.24,0,-4.09663093177114,-2.6786472851438536,1.5293655698873152
2024-08-06,27782.13,27782.13,27782.13,27782.13,0,0.003203600703205467,-0.26210113237665755,-0.012222765594929479
2024-08-07,28375.46,28375.46,28375.46,28375.46,0,2.1356533858275073,1.2710195456506312,1.6802679338296662
2024-08-08,28337.35,28337.35,28337.35,28337.35,0,-0.13430619274542588,-0.7428747813561065,0.18079250516520695
2024-08-09,28461.29,28461.29,28461.29,28461.29,0,0.43737329002182523,1.0386864037815746,0.4210830992198108
2024-08-12,28623.59,28623.59,28623.59,28623.59,0,0.5702482213560955,-0.08412844977941925,-6.778304162875448
2024-08-13,28332.42,28332.42,28332.42,28332.42,0,-1.0172378796650006,-0.8543146999630324,1.190706281548261
2024-08-14,28131.37,28131.37,28131.37,28131.37,0,-0.7096111098169544,0.019677699987563635,-36.06168964184995
2024-08-16,28827.39,28827.39,28827.39,28827.39,0,2.4741774040866193,1.6459746311157097,1.5031686134855673
2024-08-19,29397.19,29397.19,29397.19,29397.19,0,1.9765924004913282,0.1283558431450782,15.399317647403267
2024-08-20,29558.82,29558.82,29558.82,29558.82,0,0.5498144550550643,0.5135791215029606,1.0705545300324184
2024-08-21,29852.09,29852.09,29852.09,29852.09,0,0.9921573323969035,0.2888798466325504,3.4344982661906096
2024-08-22,29921.12,29921.12,29921.12,29921.12,0,0.23124009072730267,0.16673260611541618,1.3868918390637577
