time,open,high,low,close,volume
2023-06-02,11922.57,11922.57,11922.57,11922.57,0
2023-06-05,12013.56,12013.56,12013.56,12013.56,0
2023-06-06,12115.22,12115.22,12115.22,12115.22,0
2023-06-07,12219.24,12219.24,12219.24,12219.24,0
2023-06-08,12149.41,12149.41,12149.41,12149.41,0
2023-06-09,12116.79,12116.79,12116.79,12116.79,0
2023-06-12,12162.73,12162.73,12162.73,12162.73,0
2023-06-13,12153.95,12153.95,12153.95,12153.95,0
2023-06-14,12150.3,12150.3,12150.3,12150.3,0
2023-06-15,12172.15,12172.15,12172.15,12172.15,0
2023-06-16,12245.29,12245.29,12245.29,12245.29,0
2023-06-19,12171.0,12171.0,12171.0,12171.0,0
2023-06-20,12238.55,12238.55,12238.55,12238.55,0
2023-06-21,12276.43,12276.43,12276.43,12276.43,0
2023-06-22,12200.45,12200.45,12200.45,12200.45,0
2023-06-23,12041.64,12041.64,12041.64,12041.64,0
2023-06-26,12141.79,12141.79,12141.79,12141.79,0
2023-06-27,12153.44,12153.44,12153.44,12153.44,0
2023-06-28,12289.1,12289.1,12289.1,12289.1,0
2023-06-30,12429.33,12429.33,12429.33,12429.33,0
2023-07-03,12431.42,12431.42,12431.42,12431.42,0
2023-07-04,12371.95,12371.95,12371.95,12371.95,0
2023-07-05,12533.95,12533.95,12533.95,12533.95,0
2023-07-06,12653.55,12653.55,12653.55,12653.55,0
2023-07-07,12598.76,12598.76,12598.76,12598.76,0
2023-07-10,12575.34,12575.34,12575.34,12575.34,0
2023-07-11,12743.14,12743.14,12743.14,12743.14,0
2023-07-12,12756.68,12756.68,12756.68,12756.68,0
2023-07-13,12706.75,12706.75,12706.75,12706.75,0
2023-07-14,12783.05,12783.05,12783.05,12783.05,0
2023-07-17,12768.77,12768.77,12768.77,12768.77,0
2023-07-18,12756.5,12756.5,12756.5,12756.5,0
2023-07-19,12762.17,12762.17,12762.17,12762.17,0
2023-07-20,12803.75,12803.75,12803.75,12803.75,0
2023-07-21,12806.12,12806.12,12806.12,12806.12,0
2023-07-24,12815.58,12815.58,12815.58,12815.58,0
2023-07-25,12915.49,12915.49,12915.49,12915.49,0
2023-07-26,12954.45,12954.45,12954.45,12954.45,0
2023-07-27,12867.12,12867.12,12867.12,12867.12,0
2023-07-28,12897.06,12897.06,12897.06,12897.06,0
2023-07-31,13017.62,13017.62,13017.62,13017.62,0
2023-08-01,12977.1,12977.1,12977.1,12977.1,0
2023-08-02,12787.5,12787.5,12787.5,12787.5,0
2023-08-03,12784.83,12784.83,12784.83,12784.83,0
2023-08-04,12841.11,12841.11,12841.11,12841.11,0
2023-08-07,12882.04,12882.04,12882.04,12882.04,0
2023-08-08,12828.42,12828.42,12828.42,12828.42,0
2023-08-09,12931.01,12931.01,12931.01,12931.01,0
2023-08-10,12910.9,12910.9,12910.9,12910.9,0
2023-08-11,12858.2,12858.2,12858.2,12858.2,0
2023-08-14,12799.2,12799.2,12799.2,12799.2,0
2023-08-16,12784.54,12784.54,12784.54,12784.54,0
2023-08-17,12814.25,12814.25,12814.25,12814.25,0
2023-08-18,12829.98,12829.98,12829.98,12829.98,0
2023-08-21,12891.91,12891.91,12891.91,12891.91,0
2023-08-22,12952.39,12952.39,12952.39,12952.39,0
2023-08-23,12926.31,12926.31,12926.31,12926.31,0
2023-08-24,12889.92,12889.92,12889.92,12889.92,0
2023-08-25,12794.5,12794.5,12794.5,12794.5,0
