time,open,high,low,close,volume
2023-06-02,14016.44,14016.44,14016.44,14016.44,0
2023-06-05,14048.25,14048.25,14048.25,14048.25,0
2023-06-06,14116.69,14116.69,14116.69,14116.69,0
2023-06-07,14267.38,14267.38,14267.38,14267.38,0
2023-06-08,14205.11,14205.11,14205.11,14205.11,0
2023-06-09,14147.71,14147.71,14147.71,14147.71,0
2023-06-12,14228.54,14228.54,14228.54,14228.54,0
2023-06-13,14325.35,14325.35,14325.35,14325.35,0
2023-06-14,14384.16,14384.16,14384.16,14384.16,0
2023-06-15,14409.79,14409.79,14409.79,14409.79,0
2023-06-16,14513.16,14513.16,14513.16,14513.16,0
2023-06-19,14463.22,14463.22,14463.22,14463.22,0
2023-06-20,14575.44,14575.44,14575.44,14575.44,0
2023-06-21,14630.04,14630.04,14630.04,14630.04,0
2023-06-22,14476.56,14476.56,14476.56,14476.56,0
2023-06-23,14424.3,14424.3,14424.3,14424.3,0
2023-06-26,14505.27,14505.27,14505.27,14505.27,0
2023-06-27,14595.2,14595.2,14595.2,14595.2,0
2023-06-28,14697.13,14697.13,14697.13,14697.13,0
2023-06-30,14821.43,14821.43,14821.43,14821.43,0
2023-07-03,14817.63,14817.63,14817.63,14817.63,0
2023-07-04,14845.69,14845.69,14845.69,14845.69,0
2023-07-05,14952.01,14952.01,14952.01,14952.01,0
2023-07-06,15037.44,15037.44,15037.44,15037.44,0
2023-07-07,14901.31,14901.31,14901.31,14901.31,0
2023-07-10,14846.15,14846.15,14846.15,14846.15,0
2023-07-11,14933.34,14933.34,14933.34,14933.34,0
2023-07-12,14922.93,14922.93,14922.93,14922.93,0
2023-07-13,14857.16,14857.16,14857.16,14857.16,0
2023-07-14,14924.41,14924.41,14924.41,14924.41,0
2023-07-17,15007.69,15007.69,15007.69,15007.69,0
2023-07-18,14984.81,14984.81,14984.81,14984.81,0
2023-07-19,15037.95,15037.95,15037.95,15037.95,0
2023-07-20,15154.32,15154.32,15154.32,15154.32,0
2023-07-21,15106.79,15106.79,15106.79,15106.79,0
2023-07-24,15106.19,15106.19,15106.19,15106.19,0
2023-07-25,15100.88,15100.88,15100.88,15100.88,0
2023-07-26,15153.92,15153.92,15153.92,15153.92,0
2023-07-27,15198.38,15198.38,15198.38,15198.38,0
2023-07-28,15270.6,15270.6,15270.6,15270.6,0
2023-07-31,15318.38,15318.38,15318.38,15318.38,0
2023-08-01,15307.3,15307.3,15307.3,15307.3,0
2023-08-02,15148.68,15148.68,15148.68,15148.68,0
2023-08-03,15068.73,15068.73,15068.73,15068.73,0
2023-08-04,15140.74,15140.74,15140.74,15140.74,0
2023-08-07,15184.03,15184.03,15184.03,15184.03,0
2023-08-08,15200.64,15200.64,15200.64,15200.64,0
2023-08-09,15232.78,15232.78,15232.78,15232.78,0
2023-08-10,15107.32,15107.32,15107.32,15107.32,0
2023-08-11,15015.61,15015.61,15015.61,15015.61,0
2023-08-14,14975.95,14975.95,14975.95,14975.95,0
2023-08-16,15026.71,15026.71,15026.71,15026.71,0
2023-08-17,15001.75,15001.75,15001.75,15001.75,0
2023-08-18,14942.7,14942.7,14942.7,14942.7,0
2023-08-21,15015.61,15015.61,15015.61,15015.61,0
2023-08-22,15021.78,15021.78,15021.78,15021.78,0
2023-08-23,15047.06,15047.06,15047.06,15047.06,0
2023-08-24,15056.07,15056.07,15056.07,15056.07,0
2023-08-25,14957.16,14957.16,14957.16,14957.16,0
2023-08-28,15009.31,15009.31,15009.31,15009.31,0
2023-08-29,15041.94,15041.94,15041.94,15041.94,0
2023-08-30,15035.88,15035.88,15035.88,15035.88,0
2023-08-31,14958.49,14958.49,14958.49,14958.49,0
2023-09-01,15066.38,15066.38,15066.38,15066.38,0
2023-09-04,15146.82,15146.82,15146.82,15146.82,0
2023-09-05,15200.1,15200.1,15200.1,15200.1,0
2023-09-06,15271.96,15271.96,15271.96,15271.96,0
2023-09-07,15336.79,15336.79,15336.79,15336.79,0
2023-09-08,15404.04,15404.04,15404.04,15404.04,0
2023-09-11,15534.29,15534.29,15534.29,15534.29,0
2023-09-12,15427.62,15427.62,15427.62,15427.62,0
2023-09-13,15522.78,15522.78,15522.78,15522.78,0
2023-09-14,15546.56,15546.56,15546.56,15546.56,0
2023-09-15,15602.65,15602.65,15602.65,15602.65,0
2023-09-18,15605.27,15605.27,15605.27,15605.27,0
2023-09-20,15488.86,15488.86,15488.86,15488.86,0
2023-09-21,15375.6,15375.6,15375.6,15375.6,0
2023-09-22,15310.81,15310.81,15310.81,15310.81,0
2023-09-25,15299.03,15299.03,15299.03,15299.03,0
2023-09-26,15286.9,15286.9,15286.9,15286.9,0
2023-09-27,15321.41,15321.41,15321.41,15321.41,0
2023-09-28,15140.85,15140.85,15140.85,15140.85,0
2023-09-29,15296.23,15296.23,15296.23,15296.23,0
2023-10-03,15209.3,15209.3,15209.3,15209.3,0
2023-10-04,15059.06,15059.06,15059.06,15059.06,0
2023-10-05,15096.46,15096.46,15096.46,15096.46,0
2023-10-06,15176.45,15176.45,15176.45,15176.45,0
2023-10-09,15076.3,15076.3,15076.3,15076.3,0
2023-10-10,15206.93,15206.93,15206.93,15206.93,0
2023-10-11,15295.17,15295.17,15295.17,15295.17,0
2023-10-12,15322.92,15322.92,15322.92,15322.92,0
2023-10-13,15325.88,15325.88,15325.88,15325.88,0
2023-10-16,15326.79,15326.79,15326.79,15326.79,0
2023-10-17,15405.68,15405.68,15405.68,15405.68,0
2023-10-18,15346.65,15346.65,15346.65,15346.65,0
2023-10-19,15329.99,15329.99,15329.99,15329.99,0
2023-10-20,15282.05,15282.05,15282.05,15282.05,0
2023-10-23,15089.6,15089.6,15089.6,15089.6,0
2023-10-25,15004.78,15004.78,15004.78,15004.78,0
2023-10-26,14814.34,14814.34,14814.34,14814.34,0
2023-10-27,14987.74,14987.74,14987.74,14987.74,0
2023-10-30,15001.88,15001.88,15001.88,15001.88,0
2023-10-31,15056.18,15056.18,15056.18,15056.18,0
2023-11-01,14995.65,14995.65,14995.65,14995.65,0
2023-11-02,15128.67,15128.67,15128.67,15128.67,0
2023-11-03,15213.07,15213.07,15213.07,15213.07,0
2023-11-06,15344.62,15344.62,15344.62,15344.62,0
2023-11-07,15422.67,15422.67,15422.67,15422.67,0
2023-11-08,15488.66,15488.66,15488.66,15488.66,0
2023-11-09,15486.58,15486.58,15486.58,15486.58,0
2023-11-10,15504.6,15504.6,15504.6,15504.6,0
2023-11-12,15567.92,15567.92,15567.92,15567.92,0
